PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:3
Random Seed: 2
Output Path: afad-ce__seed2
Script: afad-ce.py
Epoch: 001/200 | Batch 0000/0462 | Cost: 3.3020
Epoch: 001/200 | Batch 0050/0462 | Cost: 2.8419
Epoch: 001/200 | Batch 0100/0462 | Cost: 2.9102
Epoch: 001/200 | Batch 0150/0462 | Cost: 2.8054
Epoch: 001/200 | Batch 0200/0462 | Cost: 2.8144
Epoch: 001/200 | Batch 0250/0462 | Cost: 2.8214
Epoch: 001/200 | Batch 0300/0462 | Cost: 2.8927
Epoch: 001/200 | Batch 0350/0462 | Cost: 2.7273
Epoch: 001/200 | Batch 0400/0462 | Cost: 2.8003
Epoch: 001/200 | Batch 0450/0462 | Cost: 2.7809
MAE/RMSE: | Current Valid: 4.85/6.65 Ep. 0 | Best Valid : 4.85/6.65 Ep. 0
Time elapsed: 2.60 min
Epoch: 002/200 | Batch 0000/0462 | Cost: 2.7671
Epoch: 002/200 | Batch 0050/0462 | Cost: 2.8344
Epoch: 002/200 | Batch 0100/0462 | Cost: 2.7003
Epoch: 002/200 | Batch 0150/0462 | Cost: 2.6800
Epoch: 002/200 | Batch 0200/0462 | Cost: 2.7427
Epoch: 002/200 | Batch 0250/0462 | Cost: 2.7173
Epoch: 002/200 | Batch 0300/0462 | Cost: 2.7605
Epoch: 002/200 | Batch 0350/0462 | Cost: 2.7334
Epoch: 002/200 | Batch 0400/0462 | Cost: 2.7749
Epoch: 002/200 | Batch 0450/0462 | Cost: 2.8316
MAE/RMSE: | Current Valid: 4.35/6.06 Ep. 1 | Best Valid : 4.35/6.06 Ep. 1
Time elapsed: 5.25 min
Epoch: 003/200 | Batch 0000/0462 | Cost: 2.6804
Epoch: 003/200 | Batch 0050/0462 | Cost: 2.7036
Epoch: 003/200 | Batch 0100/0462 | Cost: 2.6954
Epoch: 003/200 | Batch 0150/0462 | Cost: 2.6798
Epoch: 003/200 | Batch 0200/0462 | Cost: 2.7217
Epoch: 003/200 | Batch 0250/0462 | Cost: 2.6771
Epoch: 003/200 | Batch 0300/0462 | Cost: 2.6161
Epoch: 003/200 | Batch 0350/0462 | Cost: 2.6507
Epoch: 003/200 | Batch 0400/0462 | Cost: 2.7966
Epoch: 003/200 | Batch 0450/0462 | Cost: 2.6842
MAE/RMSE: | Current Valid: 4.29/5.94 Ep. 2 | Best Valid : 4.29/5.94 Ep. 2
Time elapsed: 7.90 min
Epoch: 004/200 | Batch 0000/0462 | Cost: 2.6360
Epoch: 004/200 | Batch 0050/0462 | Cost: 2.6699
Epoch: 004/200 | Batch 0100/0462 | Cost: 2.5626
Epoch: 004/200 | Batch 0150/0462 | Cost: 2.6457
Epoch: 004/200 | Batch 0200/0462 | Cost: 2.7239
Epoch: 004/200 | Batch 0250/0462 | Cost: 2.6899
Epoch: 004/200 | Batch 0300/0462 | Cost: 2.6791
Epoch: 004/200 | Batch 0350/0462 | Cost: 2.6260
Epoch: 004/200 | Batch 0400/0462 | Cost: 2.5810
Epoch: 004/200 | Batch 0450/0462 | Cost: 2.6473
MAE/RMSE: | Current Valid: 3.94/5.51 Ep. 3 | Best Valid : 3.94/5.51 Ep. 3
Time elapsed: 10.55 min
Epoch: 005/200 | Batch 0000/0462 | Cost: 2.6724
Epoch: 005/200 | Batch 0050/0462 | Cost: 2.6205
Epoch: 005/200 | Batch 0100/0462 | Cost: 2.5758
Epoch: 005/200 | Batch 0150/0462 | Cost: 2.6186
Epoch: 005/200 | Batch 0200/0462 | Cost: 2.6681
Epoch: 005/200 | Batch 0250/0462 | Cost: 2.6414
Epoch: 005/200 | Batch 0300/0462 | Cost: 2.5813
Epoch: 005/200 | Batch 0350/0462 | Cost: 2.6551
Epoch: 005/200 | Batch 0400/0462 | Cost: 2.5932
Epoch: 005/200 | Batch 0450/0462 | Cost: 2.6508
MAE/RMSE: | Current Valid: 3.98/5.59 Ep. 4 | Best Valid : 3.94/5.51 Ep. 3
Time elapsed: 13.21 min
Epoch: 006/200 | Batch 0000/0462 | Cost: 2.6326
Epoch: 006/200 | Batch 0050/0462 | Cost: 2.5876
Epoch: 006/200 | Batch 0100/0462 | Cost: 2.5965
Epoch: 006/200 | Batch 0150/0462 | Cost: 2.4841
Epoch: 006/200 | Batch 0200/0462 | Cost: 2.5105
Epoch: 006/200 | Batch 0250/0462 | Cost: 2.5558
Epoch: 006/200 | Batch 0300/0462 | Cost: 2.6773
Epoch: 006/200 | Batch 0350/0462 | Cost: 2.4786
Epoch: 006/200 | Batch 0400/0462 | Cost: 2.5923
Epoch: 006/200 | Batch 0450/0462 | Cost: 2.6122
MAE/RMSE: | Current Valid: 3.93/5.56 Ep. 5 | Best Valid : 3.93/5.56 Ep. 5
Time elapsed: 15.87 min
Epoch: 007/200 | Batch 0000/0462 | Cost: 2.5939
Epoch: 007/200 | Batch 0050/0462 | Cost: 2.5452
Epoch: 007/200 | Batch 0100/0462 | Cost: 2.5186
Epoch: 007/200 | Batch 0150/0462 | Cost: 2.6216
