PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:7
Random Seed: 2
Task Importance Weight: 0
Output Path: afad-coral__seed2
Script: afad-coral.py
Epoch: 001/200 | Batch 0000/0462 | Cost: 18.5486
Epoch: 001/200 | Batch 0050/0462 | Cost: 16.1951
Epoch: 001/200 | Batch 0100/0462 | Cost: 16.0219
Epoch: 001/200 | Batch 0150/0462 | Cost: 15.7530
Epoch: 001/200 | Batch 0200/0462 | Cost: 15.2462
Epoch: 001/200 | Batch 0250/0462 | Cost: 15.4017
Epoch: 001/200 | Batch 0300/0462 | Cost: 14.9176
Epoch: 001/200 | Batch 0350/0462 | Cost: 15.1126
Epoch: 001/200 | Batch 0400/0462 | Cost: 14.4310
Epoch: 001/200 | Batch 0450/0462 | Cost: 14.6703
MAE/RMSE: | Current Valid: 14.03/15.61 Ep. 0 | Best Valid : 14.03/15.61 Ep. 0
Time elapsed: 1.86 min
Epoch: 002/200 | Batch 0000/0462 | Cost: 14.4998
Epoch: 002/200 | Batch 0050/0462 | Cost: 14.2720
Epoch: 002/200 | Batch 0100/0462 | Cost: 14.2861
Epoch: 002/200 | Batch 0150/0462 | Cost: 13.9634
Epoch: 002/200 | Batch 0200/0462 | Cost: 13.8680
Epoch: 002/200 | Batch 0250/0462 | Cost: 13.5115
Epoch: 002/200 | Batch 0300/0462 | Cost: 13.6610
Epoch: 002/200 | Batch 0350/0462 | Cost: 13.1465
Epoch: 002/200 | Batch 0400/0462 | Cost: 12.9781
Epoch: 002/200 | Batch 0450/0462 | Cost: 13.6649
MAE/RMSE: | Current Valid: 8.33/9.87 Ep. 1 | Best Valid : 8.33/9.87 Ep. 1
Time elapsed: 3.87 min
Epoch: 003/200 | Batch 0000/0462 | Cost: 13.1981
Epoch: 003/200 | Batch 0050/0462 | Cost: 13.0881
Epoch: 003/200 | Batch 0100/0462 | Cost: 12.9335
Epoch: 003/200 | Batch 0150/0462 | Cost: 12.4836
Epoch: 003/200 | Batch 0200/0462 | Cost: 12.8052
Epoch: 003/200 | Batch 0250/0462 | Cost: 12.7441
Epoch: 003/200 | Batch 0300/0462 | Cost: 12.2791
Epoch: 003/200 | Batch 0350/0462 | Cost: 12.2442
Epoch: 003/200 | Batch 0400/0462 | Cost: 12.5267
Epoch: 003/200 | Batch 0450/0462 | Cost: 11.9665
MAE/RMSE: | Current Valid: 8.41/9.82 Ep. 2 | Best Valid : 8.33/9.87 Ep. 1
Time elapsed: 5.92 min
Epoch: 004/200 | Batch 0000/0462 | Cost: 12.3137
Epoch: 004/200 | Batch 0050/0462 | Cost: 11.7377
Epoch: 004/200 | Batch 0100/0462 | Cost: 11.8869
Epoch: 004/200 | Batch 0150/0462 | Cost: 11.7679
Epoch: 004/200 | Batch 0200/0462 | Cost: 11.4759
Epoch: 004/200 | Batch 0250/0462 | Cost: 11.4900
Epoch: 004/200 | Batch 0300/0462 | Cost: 11.5886
Epoch: 004/200 | Batch 0350/0462 | Cost: 11.6216
Epoch: 004/200 | Batch 0400/0462 | Cost: 11.2633
Epoch: 004/200 | Batch 0450/0462 | Cost: 11.3449
MAE/RMSE: | Current Valid: 8.77/9.90 Ep. 3 | Best Valid : 8.33/9.87 Ep. 1
Time elapsed: 7.99 min
Epoch: 005/200 | Batch 0000/0462 | Cost: 11.2034
Epoch: 005/200 | Batch 0050/0462 | Cost: 11.2442
Epoch: 005/200 | Batch 0100/0462 | Cost: 10.9723
Epoch: 005/200 | Batch 0150/0462 | Cost: 10.6993
Epoch: 005/200 | Batch 0200/0462 | Cost: 10.9709
Epoch: 005/200 | Batch 0250/0462 | Cost: 11.4444
Epoch: 005/200 | Batch 0300/0462 | Cost: 10.9498
Epoch: 005/200 | Batch 0350/0462 | Cost: 10.6445
Epoch: 005/200 | Batch 0400/0462 | Cost: 11.0204
Epoch: 005/200 | Batch 0450/0462 | Cost: 10.5399
MAE/RMSE: | Current Valid: 7.73/8.98 Ep. 4 | Best Valid : 7.73/8.98 Ep. 4
Time elapsed: 10.08 min
Epoch: 006/200 | Batch 0000/0462 | Cost: 10.1822
Epoch: 006/200 | Batch 0050/0462 | Cost: 10.4706
Epoch: 006/200 | Batch 0100/0462 | Cost: 10.4057
Epoch: 006/200 | Batch 0150/0462 | Cost: 10.5700
Epoch: 006/200 | Batch 0200/0462 | Cost: 10.4771
Epoch: 006/200 | Batch 0250/0462 | Cost: 10.2580
Epoch: 006/200 | Batch 0300/0462 | Cost: 10.2041
Epoch: 006/200 | Batch 0350/0462 | Cost: 9.8283
Epoch: 006/200 | Batch 0400/0462 | Cost: 9.9740
Epoch: 006/200 | Batch 0450/0462 | Cost: 9.6423
MAE/RMSE: | Current Valid: 6.68/7.93 Ep. 5 | Best Valid : 6.68/7.93 Ep. 5
Time elapsed: 12.61 min
Epoch: 007/200 | Batch 0000/0462 | Cost: 9.7733
Epoch: 007/200 | Batch 0050/0462 | Cost: 9.7156
Epoch: 007/200 | Batch 0100/0462 | Cost: 10.0188
Epoch: 007/200 | Batch 0150/0462 | Cost: 9.1871
Epoch: 007/200 | Batch 0200/0462 | Cost: 10.2238
Epoch: 007/200 | Batch 0250/0462 | Cost: 9.7849
Epoch: 007/200 | Batch 0300/0462 | Cost: 9.4156
Epoch: 007/200 | Batch 0350/0462 | Cost: 9.7061
Epoch: 007/200 | Batch 0400/0462 | Cost: 9.2988
Epoch: 007/200 | Batch 0450/0462 | Cost: 9.5699
MAE/RMSE: | Current Valid: 8.46/9.38 Ep. 6 | Best Valid : 6.68/7.93 Ep. 5
Time elapsed: 15.15 min
Epoch: 008/200 | Batch 0000/0462 | Cost: 9.5611
Epoch: 008/200 | Batch 0050/0462 | Cost: 9.2664
Epoch: 008/200 | Batch 0100/0462 | Cost: 9.0683
Epoch: 008/200 | Batch 0150/0462 | Cost: 9.1869
Epoch: 008/200 | Batch 0200/0462 | Cost: 9.3181
Epoch: 008/200 | Batch 0250/0462 | Cost: 9.2350
Epoch: 008/200 | Batch 0300/0462 | Cost: 9.1598
Epoch: 008/200 | Batch 0350/0462 | Cost: 8.8701
Epoch: 008/200 | Batch 0400/0462 | Cost: 8.7267
Epoch: 008/200 | Batch 0450/0462 | Cost: 9.0513
MAE/RMSE: | Current Valid: 6.90/8.03 Ep. 7 | Best Valid : 6.68/7.93 Ep. 5
Time elapsed: 17.65 min
Epoch: 009/200 | Batch 0000/0462 | Cost: 9.0069
Epoch: 009/200 | Batch 0050/0462 | Cost: 9.0718
Epoch: 009/200 | Batch 0100/0462 | Cost: 8.8836
Epoch: 009/200 | Batch 0150/0462 | Cost: 8.7749
Epoch: 009/200 | Batch 0200/0462 | Cost: 8.6302
Epoch: 009/200 | Batch 0250/0462 | Cost: 8.7032
Epoch: 009/200 | Batch 0300/0462 | Cost: 9.1484
Epoch: 009/200 | Batch 0350/0462 | Cost: 8.4725
Epoch: 009/200 | Batch 0400/0462 | Cost: 8.4473
Epoch: 009/200 | Batch 0450/0462 | Cost: 9.2357
MAE/RMSE: | Current Valid: 6.67/7.92 Ep. 8 | Best Valid : 6.67/7.92 Ep. 8
Time elapsed: 20.11 min
Epoch: 010/200 | Batch 0000/0462 | Cost: 8.4856
Epoch: 010/200 | Batch 0050/0462 | Cost: 8.5358
Epoch: 010/200 | Batch 0100/0462 | Cost: 8.6504
Epoch: 010/200 | Batch 0150/0462 | Cost: 8.1923
Epoch: 010/200 | Batch 0200/0462 | Cost: 8.6294
Epoch: 010/200 | Batch 0250/0462 | Cost: 8.4660
Epoch: 010/200 | Batch 0300/0462 | Cost: 8.2963
Epoch: 010/200 | Batch 0350/0462 | Cost: 8.2806
Epoch: 010/200 | Batch 0400/0462 | Cost: 8.0256
Epoch: 010/200 | Batch 0450/0462 | Cost: 8.7858
MAE/RMSE: | Current Valid: 7.55/8.78 Ep. 9 | Best Valid : 6.67/7.92 Ep. 8
Time elapsed: 22.57 min
Epoch: 011/200 | Batch 0000/0462 | Cost: 8.6004
Epoch: 011/200 | Batch 0050/0462 | Cost: 7.9378
Epoch: 011/200 | Batch 0100/0462 | Cost: 8.1839
Epoch: 011/200 | Batch 0150/0462 | Cost: 8.5958
Epoch: 011/200 | Batch 0200/0462 | Cost: 8.0115
Epoch: 011/200 | Batch 0250/0462 | Cost: 8.0291
Epoch: 011/200 | Batch 0300/0462 | Cost: 8.0982
Epoch: 011/200 | Batch 0350/0462 | Cost: 8.3986
Epoch: 011/200 | Batch 0400/0462 | Cost: 7.7428
Epoch: 011/200 | Batch 0450/0462 | Cost: 7.7169
MAE/RMSE: | Current Valid: 6.51/7.73 Ep. 10 | Best Valid : 6.51/7.73 Ep. 10
Time elapsed: 25.08 min
Epoch: 012/200 | Batch 0000/0462 | Cost: 7.8821
Epoch: 012/200 | Batch 0050/0462 | Cost: 7.8892
Epoch: 012/200 | Batch 0100/0462 | Cost: 7.8173
Epoch: 012/200 | Batch 0150/0462 | Cost: 7.9946
Epoch: 012/200 | Batch 0200/0462 | Cost: 7.9271
Epoch: 012/200 | Batch 0250/0462 | Cost: 7.7830
Epoch: 012/200 | Batch 0300/0462 | Cost: 7.8459
Epoch: 012/200 | Batch 0350/0462 | Cost: 7.9643
Epoch: 012/200 | Batch 0400/0462 | Cost: 8.3370
Epoch: 012/200 | Batch 0450/0462 | Cost: 7.5774
MAE/RMSE: | Current Valid: 6.60/7.76 Ep. 11 | Best Valid : 6.51/7.73 Ep. 10
Time elapsed: 27.59 min
Epoch: 013/200 | Batch 0000/0462 | Cost: 7.1899
Epoch: 013/200 | Batch 0050/0462 | Cost: 7.6909
Epoch: 013/200 | Batch 0100/0462 | Cost: 7.3438
Epoch: 013/200 | Batch 0150/0462 | Cost: 7.6230
Epoch: 013/200 | Batch 0200/0462 | Cost: 8.0319
Epoch: 013/200 | Batch 0250/0462 | Cost: 7.2105
Epoch: 013/200 | Batch 0300/0462 | Cost: 7.7604
Epoch: 013/200 | Batch 0350/0462 | Cost: 8.3883
Epoch: 013/200 | Batch 0400/0462 | Cost: 7.5728
Epoch: 013/200 | Batch 0450/0462 | Cost: 7.6077
MAE/RMSE: | Current Valid: 6.34/7.60 Ep. 12 | Best Valid : 6.34/7.60 Ep. 12
Time elapsed: 30.05 min
Epoch: 014/200 | Batch 0000/0462 | Cost: 7.0554
Epoch: 014/200 | Batch 0050/0462 | Cost: 7.6135
Epoch: 014/200 | Batch 0100/0462 | Cost: 7.3888
Epoch: 014/200 | Batch 0150/0462 | Cost: 7.3048
Epoch: 014/200 | Batch 0200/0462 | Cost: 7.5743
Epoch: 014/200 | Batch 0250/0462 | Cost: 7.4967
Epoch: 014/200 | Batch 0300/0462 | Cost: 7.2080
Epoch: 014/200 | Batch 0350/0462 | Cost: 6.9759
Epoch: 014/200 | Batch 0400/0462 | Cost: 7.5056
Epoch: 014/200 | Batch 0450/0462 | Cost: 7.7207
MAE/RMSE: | Current Valid: 6.84/8.12 Ep. 13 | Best Valid : 6.34/7.60 Ep. 12
Time elapsed: 32.55 min
Epoch: 015/200 | Batch 0000/0462 | Cost: 7.2236
Epoch: 015/200 | Batch 0050/0462 | Cost: 7.1986
Epoch: 015/200 | Batch 0100/0462 | Cost: 7.0730
Epoch: 015/200 | Batch 0150/0462 | Cost: 7.2943
Epoch: 015/200 | Batch 0200/0462 | Cost: 7.1303
Epoch: 015/200 | Batch 0250/0462 | Cost: 8.2725
Epoch: 015/200 | Batch 0300/0462 | Cost: 7.4776
Epoch: 015/200 | Batch 0350/0462 | Cost: 6.6799
Epoch: 015/200 | Batch 0400/0462 | Cost: 7.1181
Epoch: 015/200 | Batch 0450/0462 | Cost: 6.8794
MAE/RMSE: | Current Valid: 6.79/8.01 Ep. 14 | Best Valid : 6.34/7.60 Ep. 12
Time elapsed: 35.05 min
Epoch: 016/200 | Batch 0000/0462 | Cost: 7.1683
Epoch: 016/200 | Batch 0050/0462 | Cost: 6.6941
Epoch: 016/200 | Batch 0100/0462 | Cost: 6.9460
Epoch: 016/200 | Batch 0150/0462 | Cost: 6.7451
Epoch: 016/200 | Batch 0200/0462 | Cost: 6.8948
Epoch: 016/200 | Batch 0250/0462 | Cost: 6.6600
Epoch: 016/200 | Batch 0300/0462 | Cost: 7.1159
Epoch: 016/200 | Batch 0350/0462 | Cost: 7.0798
Epoch: 016/200 | Batch 0400/0462 | Cost: 6.6175
Epoch: 016/200 | Batch 0450/0462 | Cost: 6.8945
MAE/RMSE: | Current Valid: 6.08/7.36 Ep. 15 | Best Valid : 6.08/7.36 Ep. 15
Time elapsed: 37.46 min
Epoch: 017/200 | Batch 0000/0462 | Cost: 6.5785
Epoch: 017/200 | Batch 0050/0462 | Cost: 6.7410
Epoch: 017/200 | Batch 0100/0462 | Cost: 6.6215
Epoch: 017/200 | Batch 0150/0462 | Cost: 6.2119
Epoch: 017/200 | Batch 0200/0462 | Cost: 6.9850
Epoch: 017/200 | Batch 0250/0462 | Cost: 6.8832
Epoch: 017/200 | Batch 0300/0462 | Cost: 6.7851
Epoch: 017/200 | Batch 0350/0462 | Cost: 7.1595
Epoch: 017/200 | Batch 0400/0462 | Cost: 6.1094
Epoch: 017/200 | Batch 0450/0462 | Cost: 6.8106
MAE/RMSE: | Current Valid: 6.69/8.00 Ep. 16 | Best Valid : 6.08/7.36 Ep. 15
Time elapsed: 39.89 min
Epoch: 018/200 | Batch 0000/0462 | Cost: 5.9456
Epoch: 018/200 | Batch 0050/0462 | Cost: 6.3289
Epoch: 018/200 | Batch 0100/0462 | Cost: 5.9558
Epoch: 018/200 | Batch 0150/0462 | Cost: 6.1869
Epoch: 018/200 | Batch 0200/0462 | Cost: 6.7816
Epoch: 018/200 | Batch 0250/0462 | Cost: 6.7809
Epoch: 018/200 | Batch 0300/0462 | Cost: 6.5494
Epoch: 018/200 | Batch 0350/0462 | Cost: 6.5576
Epoch: 018/200 | Batch 0400/0462 | Cost: 6.3626
Epoch: 018/200 | Batch 0450/0462 | Cost: 6.6699
MAE/RMSE: | Current Valid: 6.56/7.81 Ep. 17 | Best Valid : 6.08/7.36 Ep. 15
Time elapsed: 42.22 min
Epoch: 019/200 | Batch 0000/0462 | Cost: 6.5439
Epoch: 019/200 | Batch 0050/0462 | Cost: 5.7690
Epoch: 019/200 | Batch 0100/0462 | Cost: 6.1835
Epoch: 019/200 | Batch 0150/0462 | Cost: 6.1006
Epoch: 019/200 | Batch 0200/0462 | Cost: 6.2201
Epoch: 019/200 | Batch 0250/0462 | Cost: 6.2030
Epoch: 019/200 | Batch 0300/0462 | Cost: 6.6714
Epoch: 019/200 | Batch 0350/0462 | Cost: 6.3928
Epoch: 019/200 | Batch 0400/0462 | Cost: 6.2113
Epoch: 019/200 | Batch 0450/0462 | Cost: 6.2994
MAE/RMSE: | Current Valid: 6.27/7.49 Ep. 18 | Best Valid : 6.08/7.36 Ep. 15
Time elapsed: 44.73 min
Epoch: 020/200 | Batch 0000/0462 | Cost: 5.8620
Epoch: 020/200 | Batch 0050/0462 | Cost: 5.6806
Epoch: 020/200 | Batch 0100/0462 | Cost: 5.8098
Epoch: 020/200 | Batch 0150/0462 | Cost: 5.9784
Epoch: 020/200 | Batch 0200/0462 | Cost: 5.7297
Epoch: 020/200 | Batch 0250/0462 | Cost: 6.0105
