PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:2
Random Seed: 0
Output Path: cacd-ce__seed0
Script: cacd-ce.py
Epoch: 001/200 | Batch 0000/0448 | Cost: 4.0497
Epoch: 001/200 | Batch 0050/0448 | Cost: 3.8227
Epoch: 001/200 | Batch 0100/0448 | Cost: 3.7602
Epoch: 001/200 | Batch 0150/0448 | Cost: 3.7813
Epoch: 001/200 | Batch 0200/0448 | Cost: 3.6172
Epoch: 001/200 | Batch 0250/0448 | Cost: 3.6390
Epoch: 001/200 | Batch 0300/0448 | Cost: 3.6622
Epoch: 001/200 | Batch 0350/0448 | Cost: 3.6084
Epoch: 001/200 | Batch 0400/0448 | Cost: 3.5555
MAE/RMSE: | Current Valid: 9.49/12.24 Ep. 0 | Best Valid : 9.49/12.24 Ep. 0
Time elapsed: 1.79 min
Epoch: 002/200 | Batch 0000/0448 | Cost: 3.5469
Epoch: 002/200 | Batch 0050/0448 | Cost: 3.4859
Epoch: 002/200 | Batch 0100/0448 | Cost: 3.5223
Epoch: 002/200 | Batch 0150/0448 | Cost: 3.5047
Epoch: 002/200 | Batch 0200/0448 | Cost: 3.6019
Epoch: 002/200 | Batch 0250/0448 | Cost: 3.4706
Epoch: 002/200 | Batch 0300/0448 | Cost: 3.5409
Epoch: 002/200 | Batch 0350/0448 | Cost: 3.5063
Epoch: 002/200 | Batch 0400/0448 | Cost: 3.4879
MAE/RMSE: | Current Valid: 7.52/9.76 Ep. 1 | Best Valid : 7.52/9.76 Ep. 1
Time elapsed: 3.59 min
Epoch: 003/200 | Batch 0000/0448 | Cost: 3.3415
Epoch: 003/200 | Batch 0050/0448 | Cost: 3.3865
Epoch: 003/200 | Batch 0100/0448 | Cost: 3.4737
Epoch: 003/200 | Batch 0150/0448 | Cost: 3.3912
Epoch: 003/200 | Batch 0200/0448 | Cost: 3.4646
Epoch: 003/200 | Batch 0250/0448 | Cost: 3.3921
Epoch: 003/200 | Batch 0300/0448 | Cost: 3.4023
Epoch: 003/200 | Batch 0350/0448 | Cost: 3.4474
Epoch: 003/200 | Batch 0400/0448 | Cost: 3.4319
MAE/RMSE: | Current Valid: 9.30/11.98 Ep. 2 | Best Valid : 7.52/9.76 Ep. 1
Time elapsed: 5.38 min
Epoch: 004/200 | Batch 0000/0448 | Cost: 3.4314
Epoch: 004/200 | Batch 0050/0448 | Cost: 3.4935
Epoch: 004/200 | Batch 0100/0448 | Cost: 3.2741
Epoch: 004/200 | Batch 0150/0448 | Cost: 3.4443
Epoch: 004/200 | Batch 0200/0448 | Cost: 3.4256
Epoch: 004/200 | Batch 0250/0448 | Cost: 3.4613
Epoch: 004/200 | Batch 0300/0448 | Cost: 3.2991
Epoch: 004/200 | Batch 0350/0448 | Cost: 3.4430
Epoch: 004/200 | Batch 0400/0448 | Cost: 3.3530
MAE/RMSE: | Current Valid: 12.29/15.33 Ep. 3 | Best Valid : 7.52/9.76 Ep. 1
Time elapsed: 7.18 min
Epoch: 005/200 | Batch 0000/0448 | Cost: 3.3346
Epoch: 005/200 | Batch 0050/0448 | Cost: 3.3688
Epoch: 005/200 | Batch 0100/0448 | Cost: 3.3652
Epoch: 005/200 | Batch 0150/0448 | Cost: 3.3138
Epoch: 005/200 | Batch 0200/0448 | Cost: 3.3236
Epoch: 005/200 | Batch 0250/0448 | Cost: 3.3305
Epoch: 005/200 | Batch 0300/0448 | Cost: 3.2769
Epoch: 005/200 | Batch 0350/0448 | Cost: 3.4811
Epoch: 005/200 | Batch 0400/0448 | Cost: 3.3704
MAE/RMSE: | Current Valid: 6.51/8.94 Ep. 4 | Best Valid : 6.51/8.94 Ep. 4
Time elapsed: 8.97 min
Epoch: 006/200 | Batch 0000/0448 | Cost: 3.3105
Epoch: 006/200 | Batch 0050/0448 | Cost: 3.2821
Epoch: 006/200 | Batch 0100/0448 | Cost: 3.3597
Epoch: 006/200 | Batch 0150/0448 | Cost: 3.2868
Epoch: 006/200 | Batch 0200/0448 | Cost: 3.2902
Epoch: 006/200 | Batch 0250/0448 | Cost: 3.3539
Epoch: 006/200 | Batch 0300/0448 | Cost: 3.3087
Epoch: 006/200 | Batch 0350/0448 | Cost: 3.3561
Epoch: 006/200 | Batch 0400/0448 | Cost: 3.1985
MAE/RMSE: | Current Valid: 6.90/9.50 Ep. 5 | Best Valid : 6.51/8.94 Ep. 4
Time elapsed: 10.76 min
Epoch: 007/200 | Batch 0000/0448 | Cost: 3.2192
Epoch: 007/200 | Batch 0050/0448 | Cost: 3.1957
Epoch: 007/200 | Batch 0100/0448 | Cost: 3.3940
Epoch: 007/200 | Batch 0150/0448 | Cost: 3.2854
Epoch: 007/200 | Batch 0200/0448 | Cost: 3.2746
Epoch: 007/200 | Batch 0250/0448 | Cost: 3.2897
Epoch: 007/200 | Batch 0300/0448 | Cost: 3.2561
Epoch: 007/200 | Batch 0350/0448 | Cost: 3.2007
Epoch: 007/200 | Batch 0400/0448 | Cost: 3.1783
MAE/RMSE: | Current Valid: 6.03/8.30 Ep. 6 | Best Valid : 6.03/8.30 Ep. 6
Time elapsed: 12.56 min
Epoch: 008/200 | Batch 0000/0448 | Cost: 3.2831
Epoch: 008/200 | Batch 0050/0448 | Cost: 3.1640
Epoch: 008/200 | Batch 0100/0448 | Cost: 3.3377
Epoch: 008/200 | Batch 0150/0448 | Cost: 3.2276
Epoch: 008/200 | Batch 0200/0448 | Cost: 3.2788
Epoch: 008/200 | Batch 0250/0448 | Cost: 3.1475
Epoch: 008/200 | Batch 0300/0448 | Cost: 3.2265
Epoch: 008/200 | Batch 0350/0448 | Cost: 3.1877
Epoch: 008/200 | Batch 0400/0448 | Cost: 3.2844
MAE/RMSE: | Current Valid: 5.99/8.33 Ep. 7 | Best Valid : 5.99/8.33 Ep. 7
Time elapsed: 14.36 min
Epoch: 009/200 | Batch 0000/0448 | Cost: 3.2388
Epoch: 009/200 | Batch 0050/0448 | Cost: 3.0842
Epoch: 009/200 | Batch 0100/0448 | Cost: 3.2696
Epoch: 009/200 | Batch 0150/0448 | Cost: 3.2204
Epoch: 009/200 | Batch 0200/0448 | Cost: 3.2329
Epoch: 009/200 | Batch 0250/0448 | Cost: 3.2413
Epoch: 009/200 | Batch 0300/0448 | Cost: 3.2321
Epoch: 009/200 | Batch 0350/0448 | Cost: 3.1620
Epoch: 009/200 | Batch 0400/0448 | Cost: 3.1566
MAE/RMSE: | Current Valid: 6.18/8.50 Ep. 8 | Best Valid : 5.99/8.33 Ep. 7
Time elapsed: 16.15 min
Epoch: 010/200 | Batch 0000/0448 | Cost: 3.2291
Epoch: 010/200 | Batch 0050/0448 | Cost: 3.2463
Epoch: 010/200 | Batch 0100/0448 | Cost: 3.1736
Epoch: 010/200 | Batch 0150/0448 | Cost: 3.2054
Epoch: 010/200 | Batch 0200/0448 | Cost: 3.1469
Epoch: 010/200 | Batch 0250/0448 | Cost: 3.2066
Epoch: 010/200 | Batch 0300/0448 | Cost: 3.2583
Epoch: 010/200 | Batch 0350/0448 | Cost: 3.1340
Epoch: 010/200 | Batch 0400/0448 | Cost: 3.2188
MAE/RMSE: | Current Valid: 6.80/9.15 Ep. 9 | Best Valid : 5.99/8.33 Ep. 7
Time elapsed: 17.95 min
Epoch: 011/200 | Batch 0000/0448 | Cost: 3.0311
Epoch: 011/200 | Batch 0050/0448 | Cost: 3.1377
Epoch: 011/200 | Batch 0100/0448 | Cost: 3.1066
Epoch: 011/200 | Batch 0150/0448 | Cost: 3.1773
Epoch: 011/200 | Batch 0200/0448 | Cost: 3.1928
Epoch: 011/200 | Batch 0250/0448 | Cost: 3.0782
Epoch: 011/200 | Batch 0300/0448 | Cost: 3.1539
Epoch: 011/200 | Batch 0350/0448 | Cost: 3.1885
Epoch: 011/200 | Batch 0400/0448 | Cost: 3.0431
MAE/RMSE: | Current Valid: 5.87/8.17 Ep. 10 | Best Valid : 5.87/8.17 Ep. 10
Time elapsed: 19.75 min
Epoch: 012/200 | Batch 0000/0448 | Cost: 3.0935
Epoch: 012/200 | Batch 0050/0448 | Cost: 3.0258
Epoch: 012/200 | Batch 0100/0448 | Cost: 3.1441
Epoch: 012/200 | Batch 0150/0448 | Cost: 3.1160
Epoch: 012/200 | Batch 0200/0448 | Cost: 3.1101
Epoch: 012/200 | Batch 0250/0448 | Cost: 3.1106
Epoch: 012/200 | Batch 0300/0448 | Cost: 3.1206
Epoch: 012/200 | Batch 0350/0448 | Cost: 3.0922
Epoch: 012/200 | Batch 0400/0448 | Cost: 3.0933
MAE/RMSE: | Current Valid: 5.73/8.00 Ep. 11 | Best Valid : 5.73/8.00 Ep. 11
Time elapsed: 21.54 min
Epoch: 013/200 | Batch 0000/0448 | Cost: 3.0511
Epoch: 013/200 | Batch 0050/0448 | Cost: 2.9840
Epoch: 013/200 | Batch 0100/0448 | Cost: 3.0980
Epoch: 013/200 | Batch 0150/0448 | Cost: 3.0699
Epoch: 013/200 | Batch 0200/0448 | Cost: 3.0388
Epoch: 013/200 | Batch 0250/0448 | Cost: 3.0394
Epoch: 013/200 | Batch 0300/0448 | Cost: 3.1839
Epoch: 013/200 | Batch 0350/0448 | Cost: 3.0259
Epoch: 013/200 | Batch 0400/0448 | Cost: 3.0571
MAE/RMSE: | Current Valid: 5.94/8.41 Ep. 12 | Best Valid : 5.73/8.00 Ep. 11
Time elapsed: 23.34 min
Epoch: 014/200 | Batch 0000/0448 | Cost: 2.9906
Epoch: 014/200 | Batch 0050/0448 | Cost: 2.9707
Epoch: 014/200 | Batch 0100/0448 | Cost: 3.0808
Epoch: 014/200 | Batch 0150/0448 | Cost: 3.0849
Epoch: 014/200 | Batch 0200/0448 | Cost: 2.9644
Epoch: 014/200 | Batch 0250/0448 | Cost: 3.1155
Epoch: 014/200 | Batch 0300/0448 | Cost: 3.1973
Epoch: 014/200 | Batch 0350/0448 | Cost: 3.0959
Epoch: 014/200 | Batch 0400/0448 | Cost: 3.0469
MAE/RMSE: | Current Valid: 5.67/8.08 Ep. 13 | Best Valid : 5.67/8.08 Ep. 13
Time elapsed: 25.13 min
Epoch: 015/200 | Batch 0000/0448 | Cost: 2.9095
Epoch: 015/200 | Batch 0050/0448 | Cost: 3.0598
Epoch: 015/200 | Batch 0100/0448 | Cost: 2.8957
Epoch: 015/200 | Batch 0150/0448 | Cost: 2.9267
Epoch: 015/200 | Batch 0200/0448 | Cost: 3.0627
Epoch: 015/200 | Batch 0250/0448 | Cost: 2.9376
Epoch: 015/200 | Batch 0300/0448 | Cost: 2.9154
Epoch: 015/200 | Batch 0350/0448 | Cost: 3.0445
Epoch: 015/200 | Batch 0400/0448 | Cost: 2.9491
MAE/RMSE: | Current Valid: 5.76/8.15 Ep. 14 | Best Valid : 5.67/8.08 Ep. 13
Time elapsed: 26.92 min
Epoch: 016/200 | Batch 0000/0448 | Cost: 2.9124
Epoch: 016/200 | Batch 0050/0448 | Cost: 2.9271
Epoch: 016/200 | Batch 0100/0448 | Cost: 2.8680
Epoch: 016/200 | Batch 0150/0448 | Cost: 2.9729
Epoch: 016/200 | Batch 0200/0448 | Cost: 2.9159
Epoch: 016/200 | Batch 0250/0448 | Cost: 2.9194
Epoch: 016/200 | Batch 0300/0448 | Cost: 2.9632
