PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:1
Random Seed: 2
Task Importance Weight: 0
Output Path: cacd-ordinal__seed2
Script: cacd-ordinal.py
Epoch: 001/200 | Batch 0000/0448 | Cost: 37.5689
Epoch: 001/200 | Batch 0050/0448 | Cost: 18.4697
Epoch: 001/200 | Batch 0100/0448 | Cost: 17.3494
Epoch: 001/200 | Batch 0150/0448 | Cost: 17.8091
Epoch: 001/200 | Batch 0200/0448 | Cost: 16.4019
Epoch: 001/200 | Batch 0250/0448 | Cost: 15.9706
Epoch: 001/200 | Batch 0300/0448 | Cost: 17.0952
Epoch: 001/200 | Batch 0350/0448 | Cost: 16.1120
Epoch: 001/200 | Batch 0400/0448 | Cost: 15.8960
MAE/RMSE: | Current Valid: 8.53/10.95 Ep. 0 | Best Valid : 8.53/10.95 Ep. 0
Time elapsed: 2.35 min
Epoch: 002/200 | Batch 0000/0448 | Cost: 14.9448
Epoch: 002/200 | Batch 0050/0448 | Cost: 14.9740
Epoch: 002/200 | Batch 0100/0448 | Cost: 15.4488
Epoch: 002/200 | Batch 0150/0448 | Cost: 14.2512
Epoch: 002/200 | Batch 0200/0448 | Cost: 14.6432
Epoch: 002/200 | Batch 0250/0448 | Cost: 14.1722
Epoch: 002/200 | Batch 0300/0448 | Cost: 15.3765
Epoch: 002/200 | Batch 0350/0448 | Cost: 15.2793
Epoch: 002/200 | Batch 0400/0448 | Cost: 14.9791
MAE/RMSE: | Current Valid: 6.68/8.64 Ep. 1 | Best Valid : 6.68/8.64 Ep. 1
Time elapsed: 4.73 min
Epoch: 003/200 | Batch 0000/0448 | Cost: 14.6805
Epoch: 003/200 | Batch 0050/0448 | Cost: 14.6942
Epoch: 003/200 | Batch 0100/0448 | Cost: 14.7065
Epoch: 003/200 | Batch 0150/0448 | Cost: 13.9649
Epoch: 003/200 | Batch 0200/0448 | Cost: 14.1320
Epoch: 003/200 | Batch 0250/0448 | Cost: 13.0899
Epoch: 003/200 | Batch 0300/0448 | Cost: 14.2721
Epoch: 003/200 | Batch 0350/0448 | Cost: 13.5922
Epoch: 003/200 | Batch 0400/0448 | Cost: 13.0379
MAE/RMSE: | Current Valid: 6.71/8.89 Ep. 2 | Best Valid : 6.68/8.64 Ep. 1
Time elapsed: 7.12 min
Epoch: 004/200 | Batch 0000/0448 | Cost: 12.6561
Epoch: 004/200 | Batch 0050/0448 | Cost: 14.2300
Epoch: 004/200 | Batch 0100/0448 | Cost: 15.5209
Epoch: 004/200 | Batch 0150/0448 | Cost: 13.4551
Epoch: 004/200 | Batch 0200/0448 | Cost: 13.1046
Epoch: 004/200 | Batch 0250/0448 | Cost: 13.6584
Epoch: 004/200 | Batch 0300/0448 | Cost: 13.4915
Epoch: 004/200 | Batch 0350/0448 | Cost: 12.0842
Epoch: 004/200 | Batch 0400/0448 | Cost: 13.5151
MAE/RMSE: | Current Valid: 7.92/10.33 Ep. 3 | Best Valid : 6.68/8.64 Ep. 1
Time elapsed: 9.51 min
Epoch: 005/200 | Batch 0000/0448 | Cost: 13.6319
Epoch: 005/200 | Batch 0050/0448 | Cost: 13.1948
Epoch: 005/200 | Batch 0100/0448 | Cost: 12.7658
Epoch: 005/200 | Batch 0150/0448 | Cost: 13.5566
Epoch: 005/200 | Batch 0200/0448 | Cost: 13.1761
Epoch: 005/200 | Batch 0250/0448 | Cost: 12.4811
Epoch: 005/200 | Batch 0300/0448 | Cost: 12.2523
Epoch: 005/200 | Batch 0350/0448 | Cost: 13.5857
Epoch: 005/200 | Batch 0400/0448 | Cost: 12.4620
MAE/RMSE: | Current Valid: 10.83/13.34 Ep. 4 | Best Valid : 6.68/8.64 Ep. 1
Time elapsed: 11.88 min
Epoch: 006/200 | Batch 0000/0448 | Cost: 13.7367
Epoch: 006/200 | Batch 0050/0448 | Cost: 13.4269
Epoch: 006/200 | Batch 0100/0448 | Cost: 12.0026
Epoch: 006/200 | Batch 0150/0448 | Cost: 12.0415
Epoch: 006/200 | Batch 0200/0448 | Cost: 13.6755
Epoch: 006/200 | Batch 0250/0448 | Cost: 12.4565
Epoch: 006/200 | Batch 0300/0448 | Cost: 12.7388
Epoch: 006/200 | Batch 0350/0448 | Cost: 12.8245
Epoch: 006/200 | Batch 0400/0448 | Cost: 14.0680
MAE/RMSE: | Current Valid: 6.20/8.21 Ep. 5 | Best Valid : 6.20/8.21 Ep. 5
Time elapsed: 14.28 min
Epoch: 007/200 | Batch 0000/0448 | Cost: 13.0750
Epoch: 007/200 | Batch 0050/0448 | Cost: 12.6100
Epoch: 007/200 | Batch 0100/0448 | Cost: 12.9931
Epoch: 007/200 | Batch 0150/0448 | Cost: 12.9557
Epoch: 007/200 | Batch 0200/0448 | Cost: 13.9910
Epoch: 007/200 | Batch 0250/0448 | Cost: 12.9972
Epoch: 007/200 | Batch 0300/0448 | Cost: 13.1663
Epoch: 007/200 | Batch 0350/0448 | Cost: 13.2207
Epoch: 007/200 | Batch 0400/0448 | Cost: 14.0209
MAE/RMSE: | Current Valid: 5.81/7.91 Ep. 6 | Best Valid : 5.81/7.91 Ep. 6
Time elapsed: 16.70 min
Epoch: 008/200 | Batch 0000/0448 | Cost: 12.2028
Epoch: 008/200 | Batch 0050/0448 | Cost: 12.6770
Epoch: 008/200 | Batch 0100/0448 | Cost: 10.8184
Epoch: 008/200 | Batch 0150/0448 | Cost: 13.3529
Epoch: 008/200 | Batch 0200/0448 | Cost: 12.0461
Epoch: 008/200 | Batch 0250/0448 | Cost: 12.1237
Epoch: 008/200 | Batch 0300/0448 | Cost: 12.9219
Epoch: 008/200 | Batch 0350/0448 | Cost: 11.8771
Epoch: 008/200 | Batch 0400/0448 | Cost: 12.8728
MAE/RMSE: | Current Valid: 5.93/7.92 Ep. 7 | Best Valid : 5.81/7.91 Ep. 6
Time elapsed: 19.09 min
Epoch: 009/200 | Batch 0000/0448 | Cost: 11.8979
