PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:2
Random Seed: 0
Output Path: afad-ce__seed0
Script: afad-ce.py
Epoch: 001/200 | Batch 0000/0462 | Cost: 3.5493
Epoch: 001/200 | Batch 0050/0462 | Cost: 2.9059
Epoch: 001/200 | Batch 0100/0462 | Cost: 2.8957
Epoch: 001/200 | Batch 0150/0462 | Cost: 2.7821
Epoch: 001/200 | Batch 0200/0462 | Cost: 2.9138
Epoch: 001/200 | Batch 0250/0462 | Cost: 2.7654
Epoch: 001/200 | Batch 0300/0462 | Cost: 2.8064
Epoch: 001/200 | Batch 0350/0462 | Cost: 2.7577
Epoch: 001/200 | Batch 0400/0462 | Cost: 2.7999
Epoch: 001/200 | Batch 0450/0462 | Cost: 2.7481
MAE/RMSE: | Current Valid: 4.71/6.51 Ep. 0 | Best Valid : 4.71/6.51 Ep. 0
Time elapsed: 2.66 min
Epoch: 002/200 | Batch 0000/0462 | Cost: 2.8479
Epoch: 002/200 | Batch 0050/0462 | Cost: 2.7213
Epoch: 002/200 | Batch 0100/0462 | Cost: 2.7262
Epoch: 002/200 | Batch 0150/0462 | Cost: 2.7068
Epoch: 002/200 | Batch 0200/0462 | Cost: 2.7203
Epoch: 002/200 | Batch 0250/0462 | Cost: 2.7083
Epoch: 002/200 | Batch 0300/0462 | Cost: 2.6848
Epoch: 002/200 | Batch 0350/0462 | Cost: 2.8403
Epoch: 002/200 | Batch 0400/0462 | Cost: 2.6352
Epoch: 002/200 | Batch 0450/0462 | Cost: 2.6847
MAE/RMSE: | Current Valid: 4.50/6.23 Ep. 1 | Best Valid : 4.50/6.23 Ep. 1
Time elapsed: 5.31 min
Epoch: 003/200 | Batch 0000/0462 | Cost: 2.6736
Epoch: 003/200 | Batch 0050/0462 | Cost: 2.6626
Epoch: 003/200 | Batch 0100/0462 | Cost: 2.6799
Epoch: 003/200 | Batch 0150/0462 | Cost: 2.7085
Epoch: 003/200 | Batch 0200/0462 | Cost: 2.6098
Epoch: 003/200 | Batch 0250/0462 | Cost: 2.7496
Epoch: 003/200 | Batch 0300/0462 | Cost: 2.7541
Epoch: 003/200 | Batch 0350/0462 | Cost: 2.6480
Epoch: 003/200 | Batch 0400/0462 | Cost: 2.5779
Epoch: 003/200 | Batch 0450/0462 | Cost: 2.6336
MAE/RMSE: | Current Valid: 3.95/5.50 Ep. 2 | Best Valid : 3.95/5.50 Ep. 2
Time elapsed: 7.96 min
Epoch: 004/200 | Batch 0000/0462 | Cost: 2.6220
Epoch: 004/200 | Batch 0050/0462 | Cost: 2.6680
Epoch: 004/200 | Batch 0100/0462 | Cost: 2.7109
Epoch: 004/200 | Batch 0150/0462 | Cost: 2.7010
Epoch: 004/200 | Batch 0200/0462 | Cost: 2.6254
Epoch: 004/200 | Batch 0250/0462 | Cost: 2.7675
Epoch: 004/200 | Batch 0300/0462 | Cost: 2.6277
Epoch: 004/200 | Batch 0350/0462 | Cost: 2.6256
Epoch: 004/200 | Batch 0400/0462 | Cost: 2.6321
Epoch: 004/200 | Batch 0450/0462 | Cost: 2.6517
MAE/RMSE: | Current Valid: 4.09/5.74 Ep. 3 | Best Valid : 3.95/5.50 Ep. 2
Time elapsed: 10.62 min
Epoch: 005/200 | Batch 0000/0462 | Cost: 2.6303
Epoch: 005/200 | Batch 0050/0462 | Cost: 2.6106
Epoch: 005/200 | Batch 0100/0462 | Cost: 2.7053
Epoch: 005/200 | Batch 0150/0462 | Cost: 2.6795
Epoch: 005/200 | Batch 0200/0462 | Cost: 2.6988
Epoch: 005/200 | Batch 0250/0462 | Cost: 2.6245
Epoch: 005/200 | Batch 0300/0462 | Cost: 2.7015
Epoch: 005/200 | Batch 0350/0462 | Cost: 2.6257
Epoch: 005/200 | Batch 0400/0462 | Cost: 2.6708
Epoch: 005/200 | Batch 0450/0462 | Cost: 2.5552
MAE/RMSE: | Current Valid: 3.93/5.50 Ep. 4 | Best Valid : 3.93/5.50 Ep. 4
Time elapsed: 13.27 min
Epoch: 006/200 | Batch 0000/0462 | Cost: 2.6875
Epoch: 006/200 | Batch 0050/0462 | Cost: 2.6328
Epoch: 006/200 | Batch 0100/0462 | Cost: 2.5594
Epoch: 006/200 | Batch 0150/0462 | Cost: 2.5734
Epoch: 006/200 | Batch 0200/0462 | Cost: 2.5317
Epoch: 006/200 | Batch 0250/0462 | Cost: 2.5559
Epoch: 006/200 | Batch 0300/0462 | Cost: 2.6003
Epoch: 006/200 | Batch 0350/0462 | Cost: 2.5920
Epoch: 006/200 | Batch 0400/0462 | Cost: 2.5125
Epoch: 006/200 | Batch 0450/0462 | Cost: 2.5888
MAE/RMSE: | Current Valid: 3.72/5.21 Ep. 5 | Best Valid : 3.72/5.21 Ep. 5
Time elapsed: 15.94 min
Epoch: 007/200 | Batch 0000/0462 | Cost: 2.6321
Epoch: 007/200 | Batch 0050/0462 | Cost: 2.5854
Epoch: 007/200 | Batch 0100/0462 | Cost: 2.5749
Epoch: 007/200 | Batch 0150/0462 | Cost: 2.5951
Epoch: 007/200 | Batch 0200/0462 | Cost: 2.5955
Epoch: 007/200 | Batch 0250/0462 | Cost: 2.6559
Epoch: 007/200 | Batch 0300/0462 | Cost: 2.5993
Epoch: 007/200 | Batch 0350/0462 | Cost: 2.5915
Epoch: 007/200 | Batch 0400/0462 | Cost: 2.5912
Epoch: 007/200 | Batch 0450/0462 | Cost: 2.5234
