PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:4
Random Seed: 1
Output Path: afad-ce__seed1
Script: afad-ce.py
Epoch: 009/200 | Batch 0000/0462 | Cost: 2.5542
Epoch: 009/200 | Batch 0050/0462 | Cost: 2.4525
Epoch: 009/200 | Batch 0100/0462 | Cost: 2.5425
Epoch: 009/200 | Batch 0150/0462 | Cost: 2.5451
Epoch: 009/200 | Batch 0200/0462 | Cost: 2.5718
Epoch: 009/200 | Batch 0250/0462 | Cost: 2.4613
Epoch: 009/200 | Batch 0300/0462 | Cost: 2.5090
Epoch: 009/200 | Batch 0350/0462 | Cost: 2.5145
Epoch: 009/200 | Batch 0400/0462 | Cost: 2.5333
Epoch: 009/200 | Batch 0450/0462 | Cost: 2.6394
MAE/RMSE: | Current Valid: 3.62/5.11 Ep. 8 | Best Valid : 3.62/5.11 Ep. 8
Time elapsed: 21.56 min
Epoch: 010/200 | Batch 0000/0462 | Cost: 2.4004
Epoch: 010/200 | Batch 0050/0462 | Cost: 2.5349
Epoch: 010/200 | Batch 0100/0462 | Cost: 2.4963
Epoch: 010/200 | Batch 0150/0462 | Cost: 2.4888
Epoch: 010/200 | Batch 0200/0462 | Cost: 2.4839
Epoch: 010/200 | Batch 0250/0462 | Cost: 2.5744
Epoch: 010/200 | Batch 0300/0462 | Cost: 2.5874
Epoch: 010/200 | Batch 0350/0462 | Cost: 2.4378
Epoch: 010/200 | Batch 0400/0462 | Cost: 2.4972
Epoch: 010/200 | Batch 0450/0462 | Cost: 2.5372
MAE/RMSE: | Current Valid: 3.78/5.31 Ep. 9 | Best Valid : 3.62/5.11 Ep. 8
Time elapsed: 24.03 min
Epoch: 011/200 | Batch 0000/0462 | Cost: 2.4461
Epoch: 011/200 | Batch 0050/0462 | Cost: 2.3839
Epoch: 011/200 | Batch 0100/0462 | Cost: 2.4241
Epoch: 011/200 | Batch 0150/0462 | Cost: 2.4060
Epoch: 011/200 | Batch 0200/0462 | Cost: 2.3854
Epoch: 011/200 | Batch 0250/0462 | Cost: 2.4469
Epoch: 011/200 | Batch 0300/0462 | Cost: 2.4586
Epoch: 011/200 | Batch 0350/0462 | Cost: 2.4244
Epoch: 011/200 | Batch 0400/0462 | Cost: 2.4731
Epoch: 011/200 | Batch 0450/0462 | Cost: 2.4460
MAE/RMSE: | Current Valid: 3.69/5.19 Ep. 10 | Best Valid : 3.62/5.11 Ep. 8
Time elapsed: 26.50 min
